cod_ibge,enrolment_pvt_ef1_2012,enrolment_pvt_2012,enrolment_mun_ef1_2012,enrolment_total_ef1_2012,ratio_enrolment_pvt_mun_2012,share_enrolment_pvt_2012,share_enrolment_mun_2012
510680,26.0,36.0,387.0,939.0,0.06718346253229975,0.027689030883919063,0.41214057507987223
510682,0.0,0.0,1206.0,2025.0,0.0,0.0,0.5955555555555555
510685,0.0,0.0,370.0,604.0,0.0,0.0,0.6125827814569537
510700,0.0,39.0,856.0,2320.0,0.0,0.0,0.3689655172413793
510704,989.0,2078.0,5842.0,8807.0,0.16929133858267717,0.11229703644827978,0.6633359827410015
510706,0.0,5.0,1163.0,2272.0,0.0,0.0,0.5118838028169014
510710,146.0,559.0,904.0,2600.0,0.16150442477876106,0.05615384615384615,0.3476923076923077
510715,0.0,0.0,219.0,414.0,0.0,0.0,0.5289855072463768
510718,48.0,77.0,1053.0,1458.0,0.045584045584045586,0.03292181069958848,0.7222222222222222
510719,0.0,0.0,129.0,354.0,0.0,0.0,0.3644067796610169
510720,0.0,0.0,530.0,669.0,0.0,0.0,0.7922272047832586
510724,0.0,0.0,674.0,674.0,0.0,0.0,1.0
510726,0.0,0.0,296.0,381.0,0.0,0.0,0.7769028871391076
510729,0.0,0.0,164.0,533.0,0.0,0.0,0.3076923076923077
510730,105.0,238.0,1173.0,2485.0,0.08951406649616368,0.04225352112676056,0.47203219315895373
510735,0.0,0.0,515.0,1004.0,0.0,0.0,0.5129482071713147
510740,0.0,0.0,361.0,628.0,0.0,0.0,0.5748407643312102
510757,0.0,0.0,301.0,715.0,0.0,0.0,0.42097902097902096
510760,3580.0,8446.0,8900.0,28713.0,0.40224719101123596,0.1246821997004841,0.30996412774701354
510770,206.0,344.0,1144.0,2686.0,0.18006993006993008,0.0766939687267312,0.42591213700670144
510774,0.0,0.0,308.0,308.0,0.0,0.0,1.0
510775,0.0,0.0,305.0,626.0,0.0,0.0,0.48722044728434505
510776,0.0,0.0,438.0,438.0,0.0,0.0,1.0
510777,0.0,0.0,549.0,1375.0,0.0,0.0,0.3992727272727273
510779,1.0,5.0,521.0,694.0,0.0019193857965451055,0.001440922190201729,0.7507204610951008
510780,0.0,0.0,443.0,3056.0,0.0,0.0,0.14496073298429318
510785,141.0,179.0,787.0,1629.0,0.17916137229987295,0.086556169429097607,0.4831184775936157
510787,253.0,509.0,2345.0,3104.0,0.10788912579957356,0.08150773195876289,0.7554768041237113
510788,0.0,0.0,274.0,274.0,0.0,0.0,1.0
510790,2480.0,4417.0,8420.0,18184.0,0.29453681710213775,0.13638363396392433,0.46304443466783984
510792,1202.0,2351.0,8792.0,11413.0,0.1367151956323931,0.10531849645141506,0.7703496013318146
510794,53.0,78.0,718.0,1587.0,0.07381615598885793,0.03339634530560807,0.4524259609325772
510795,937.0,2243.0,6134.0,12750.0,0.1527551353113792,0.07349019607843137,0.4810980392156863
510800,129.0,279.0,944.0,1643.0,0.13665254237288135,0.07851491174680462,0.5745587340231284
510805,5.0,60.0,987.0,1603.0,0.005065856129685917,0.0031191515907673115,0.6157205240174672
510810,0.0,0.0,80.0,337.0,0.0,0.0,0.23738872403560832
510820,0.0,0.0,204.0,471.0,0.0,0.0,0.43312101910828027
510830,0.0,0.0,430.0,700.0,0.0,0.0,0.6142857142857143
510835,0.0,0.0,351.0,560.0,0.0,0.0,0.6267857142857143
510840,4854.0,9036.0,15072.0,39702.0,0.32205414012738853,0.12226084328245429,0.37962823031585313
510850,90.0,154.0,825.0,1474.0,0.10909090909090909,0.06105834464043419,0.5597014925373134
510860,182.0,277.0,1852.0,3068.0,0.09827213822894168,0.059322033898305086,0.6036505867014341
510880,12.0,27.0,450.0,795.0,0.02666666666666667,0.01509433962264151,0.5660377358490566
510885,0.0,0.0,326.0,457.0,0.0,0.0,0.7133479212253829
510890,5.0,11.0,618.0,1181.0,0.008090614886731391,0.004233700254022015,0.5232853513971211
510895,2.0,37.0,639.0,1185.0,0.003129890453834116,0.0016877637130801688,0.5392405063291139
520005,52.0,90.0,1190.0,1410.0,0.043697478991596636,0.03687943262411347,0.8439716312056738
520010,269.0,758.0,1071.0,2176.0,0.2511671335200747,0.12362132352941177,0.4921875
520013,435.0,814.0,1848.0,3434.0,0.2353896103896104,0.12667443214909727,0.5381479324403029
520015,0.0,0.0,45.0,337.0,0.0,0.0,0.13353115727002968
520017,0.0,0.0,558.0,936.0,0.0,0.0,0.5961538461538461
520020,0.0,0.0,120.0,247.0,0.0,0.0,0.48582995951417
520025,4075.0,6180.0,16209.0,32458.0,0.25140354124251957,0.1255468605582599,0.4993838190892846
520030,404.0,532.0,2748.0,4360.0,0.1470160116448326,0.0926605504587156,0.6302752293577981
520050,0.0,0.0,0.0,256.0,NaN,0.0,0.0
520055,0.0,0.0,773.0,773.0,0.0,0.0,1.0
520060,350.0,497.0,687.0,1411.0,0.5094614264919942,0.24805102763997164,0.48688873139617295
520080,41.0,152.0,1011.0,1575.0,0.040553907022749754,0.02603174603174603,0.6419047619047619
520082,0.0,0.0,337.0,560.0,0.0,0.0,0.6017857142857143
520085,0.0,0.0,394.0,857.0,0.0,0.0,0.4597432905484247
520090,0.0,0.0,104.0,428.0,0.0,0.0,0.24299065420560748
520110,12411.0,21455.0,27362.0,49204.0,0.45358526423507056,0.25223559060239004,0.5560930005690594
520120,0.0,0.0,74.0,131.0,0.0,0.0,0.5648854961832062
520130,125.0,169.0,1308.0,2477.0,0.095565749235474,0.050464271295922486,0.5280581348405329
520140,15113.0,22534.0,30165.0,69522.0,0.501011105585944,0.21738442507407726,0.4338914300509191
520145,0.0,0.0,524.0,524.0,0.0,0.0,1.0
520150,0.0,0.0,336.0,587.0,0.0,0.0,0.5724020442930153
520160,0.0,0.0,186.0,552.0,0.0,0.0,0.33695652173913043
520170,45.0,59.0,1253.0,2256.0,0.035913806863527534,0.0199468085106383,0.5554078014184397
520180,0.0,0.0,790.0,1425.0,0.0,0.0,0.5543859649122806
520215,90.0,134.0,602.0,1119.0,0.14950166112956811,0.08042895442359249,0.5379803395889187
520235,0.0,0.0,283.0,432.0,0.0,0.0,0.6550925925925926
520250,0.0,0.0,715.0,1229.0,0.0,0.0,0.5817737998372661
520260,0.0,0.0,183.0,316.0,0.0,0.0,0.5791139240506329
520280,0.0,0.0,220.0,372.0,0.0,0.0,0.5913978494623656
520310,0.0,0.0,264.0,467.0,0.0,0.0,0.5653104925053534
520320,16.0,32.0,1182.0,1493.0,0.01353637901861252,0.010716677829872739,0.7916945746818487
520330,583.0,1024.0,997.0,3622.0,0.5847542627883651,0.1609607951408062,0.2752622860298178
